ID	stim_file	start_vol	end_vol
sub-control001	01_H35_combined_small.mp4	256	258
sub-control001	02_H10_combined_small.mp4	511	513
sub-control001	03_H16_combined_small.mp4	223	225
sub-control001	04_S9_combined_small.mp4	782	784
sub-control001	05_K4_combined_small.mp4	979	981
sub-control001	06_H7_combined_small.mp4	419	421
sub-control001	07_K2_combined_small.mp4	1009	1011
sub-control001	08_S12_combined_small.mp4	28	30
sub-control001	09_S11_combined_small.mp4	1099	1101
sub-control001	10_S27_combined_small.mp4	815	817
sub-control001	11_K21_long_combined_small.mp4	665	667
sub-control001	12_H37_combined_small.mp4	286	288
sub-control001	13_Trick6_short_combined_small.mp4	453	455
sub-control001	14_K19_long_combined_small.mp4	724	726
sub-control001	15_S18_combined_small.mp4	949	951
sub-control001	16_H19_combined_small.mp4	537	539
sub-control001	17_Trick37_combined_small.mp4	387	389
sub-control001	18_Trick4_combined_small.mp4	99	101
sub-control001	19_H17_combined_small.mp4	629	631
sub-control001	20_Trick20_short_combined_small.mp4	346	348
sub-control001	21_S15_combined_small.mp4	316	318
sub-control001	22_K18_combined_small.mp4	153	155
sub-control001	23_K10_combined_small.mp4	128	130
sub-control001	24_Trick28_combined_small.mp4	850	852
sub-control001	25_S25_combined_small.mp4	918	920
sub-control001	26_S30_combined_small.mp4	564	566
sub-control001	27_S31_combined_small.mp4	749	751
sub-control001	28_K24_combined_small.mp4	876	878
sub-control001	29_H36_combined_small.mp4	1069	1071
sub-control001	30_H15_combined_small.mp4	59	61
sub-control001	31_K3_combined_small.mp4	694	696
sub-control001	32_K16_short_combined_small.mp4	1130	1132
sub-control001	33_S21_combined_small.mp4	589	591
sub-control001	34_Trick38_combined_small.mp4	1037	1039
sub-control001	35_Trick32_long_combined_small.mp4	192	194
sub-control001	36_Trick7_short_combined_small.mp4	478	480
sub-control002	01_H35_combined_small.mp4	479	481
sub-control002	02_H10_combined_small.mp4	346	348
sub-control002	03_H16_combined_small.mp4	539	541
sub-control002	04_S9_combined_small.mp4	257	259
sub-control002	05_K4_combined_small.mp4	700	702
sub-control002	06_H7_combined_small.mp4	197	199
sub-control002	07_K2_combined_small.mp4	1099	1101
sub-control002	08_S12_combined_small.mp4	574	576
sub-control002	09_S11_combined_small.mp4	1041	1043
sub-control002	10_S27_combined_small.mp4	1129	1131
sub-control002	11_K21_long_combined_small.mp4	385	387
sub-control002	12_H37_combined_small.mp4	982	984
sub-control002	13_Trick6_short_combined_small.mp4	892	894
sub-control002	14_K19_long_combined_small.mp4	446	448
sub-control002	15_S18_combined_small.mp4	730	732
sub-control002	16_H19_combined_small.mp4	1068	1070
sub-control002	17_Trick37_combined_small.mp4	97	99
sub-control002	18_Trick4_combined_small.mp4	58	60
sub-control002	19_H17_combined_small.mp4	166	168
sub-control002	20_Trick20_short_combined_small.mp4	313	315
sub-control002	21_S15_combined_small.mp4	1014	1016
sub-control002	22_K18_combined_small.mp4	507	509
sub-control002	23_K10_combined_small.mp4	668	670
sub-control002	24_Trick28_combined_small.mp4	953	955
sub-control002	25_S25_combined_small.mp4	642	644
sub-control002	26_S30_combined_small.mp4	20	22
sub-control002	27_S31_combined_small.mp4	599	601
sub-control002	28_K24_combined_small.mp4	127	129
sub-control002	29_H36_combined_small.mp4	858	860
sub-control002	30_H15_combined_small.mp4	227	229
sub-control002	31_K3_combined_small.mp4	286	288
sub-control002	32_K16_short_combined_small.mp4	415	417
sub-control002	33_S21_combined_small.mp4	917	919
sub-control002	34_Trick38_combined_small.mp4	826	828
sub-control002	35_Trick32_long_combined_small.mp4	768	770
sub-control002	36_Trick7_short_combined_small.mp4	796	798
sub-control003	01_H35_combined_small.mp4	144	146
sub-control003	02_H10_combined_small.mp4	886	888
sub-control003	03_H16_combined_small.mp4	430	432
sub-control003	04_S9_combined_small.mp4	1098	1100
sub-control003	05_K4_combined_small.mp4	48	50
sub-control003	06_H7_combined_small.mp4	789	791
sub-control003	07_K2_combined_small.mp4	172	174
sub-control003	08_S12_combined_small.mp4	717	719
sub-control003	09_S11_combined_small.mp4	569	571
sub-control003	10_S27_combined_small.mp4	916	918
sub-control003	11_K21_long_combined_small.mp4	372	374
sub-control003	12_H37_combined_small.mp4	682	684
sub-control003	13_Trick6_short_combined_small.mp4	111	113
sub-control003	14_K19_long_combined_small.mp4	1129	1131
sub-control003	15_S18_combined_small.mp4	1010	1012
sub-control003	16_H19_combined_small.mp4	398	400
sub-control003	17_Trick37_combined_small.mp4	754	756
