ID	stim_file	start_vol	end_vol
sub-control001	01_H35_combined_small.mp4	238	256
sub-control001	02_H10_combined_small.mp4	496	511
sub-control001	03_H16_combined_small.mp4	207	223
sub-control001	04_S9_combined_small.mp4	767	782
sub-control001	05_K4_combined_small.mp4	964	979
sub-control001	06_H7_combined_small.mp4	403	419
sub-control001	07_K2_combined_small.mp4	996	1009
sub-control001	08_S12_combined_small.mp4	8	28
sub-control001	09_S11_combined_small.mp4	1088	1099
sub-control001	10_S27_combined_small.mp4	800	815
sub-control001	11_K21_long_combined_small.mp4	644	665
sub-control001	12_H37_combined_small.mp4	272	286
sub-control001	13_Trick6_short_combined_small.mp4	435	453
sub-control001	14_K19_long_combined_small.mp4	709	724
sub-control001	15_S18_combined_small.mp4	934	949
sub-control001	16_H19_combined_small.mp4	526	537
sub-control001	17_Trick37_combined_small.mp4	365	387
sub-control001	18_Trick4_combined_small.mp4	76	99
sub-control001	19_H17_combined_small.mp4	606	629
sub-control001	20_Trick20_short_combined_small.mp4	334	346
sub-control001	21_S15_combined_small.mp4	301	316
sub-control001	22_K18_combined_small.mp4	143	153
sub-control001	23_K10_combined_small.mp4	117	128
sub-control001	24_Trick28_combined_small.mp4	830	850
sub-control001	25_S25_combined_small.mp4	892	918
sub-control001	26_S30_combined_small.mp4	552	564
sub-control001	27_S31_combined_small.mp4	739	749
sub-control001	28_K24_combined_small.mp4	865	876
sub-control001	29_H36_combined_small.mp4	1052	1069
sub-control001	30_H15_combined_small.mp4	44	59
sub-control001	31_K3_combined_small.mp4	682	694
sub-control001	32_K16_short_combined_small.mp4	1115	1130
sub-control001	33_S21_combined_small.mp4	579	589
sub-control001	34_Trick38_combined_small.mp4	1024	1037
sub-control001	35_Trick32_long_combined_small.mp4	169	192
sub-control001	36_Trick7_short_combined_small.mp4	468	478
sub-control002	01_H35_combined_small.mp4	461	479
sub-control002	02_H10_combined_small.mp4	331	346
sub-control002	03_H16_combined_small.mp4	523	539
sub-control002	04_S9_combined_small.mp4	242	257
sub-control002	05_K4_combined_small.mp4	685	700
sub-control002	06_H7_combined_small.mp4	181	197
sub-control002	07_K2_combined_small.mp4	1086	1099
sub-control002	08_S12_combined_small.mp4	554	574
sub-control002	09_S11_combined_small.mp4	1030	1041
sub-control002	10_S27_combined_small.mp4	1114	1129
sub-control002	11_K21_long_combined_small.mp4	364	385
sub-control002	12_H37_combined_small.mp4	968	982
sub-control002	13_Trick6_short_combined_small.mp4	874	892
sub-control002	14_K19_long_combined_small.mp4	431	446
sub-control002	15_S18_combined_small.mp4	715	730
sub-control002	16_H19_combined_small.mp4	1057	1068
sub-control002	17_Trick37_combined_small.mp4	75	97
sub-control002	18_Trick4_combined_small.mp4	35	58
sub-control002	19_H17_combined_small.mp4	143	166
sub-control002	20_Trick20_short_combined_small.mp4	301	313
sub-control002	21_S15_combined_small.mp4	999	1014
sub-control002	22_K18_combined_small.mp4	497	507
sub-control002	23_K10_combined_small.mp4	657	668
sub-control002	24_Trick28_combined_small.mp4	933	953
sub-control002	25_S25_combined_small.mp4	616	642
sub-control002	26_S30_combined_small.mp4	8	20
sub-control002	27_S31_combined_small.mp4	589	599
sub-control002	28_K24_combined_small.mp4	116	127
sub-control002	29_H36_combined_small.mp4	841	858
sub-control002	30_H15_combined_small.mp4	212	227
sub-control002	31_K3_combined_small.mp4	274	286
sub-control002	32_K16_short_combined_small.mp4	400	415
sub-control002	33_S21_combined_small.mp4	907	917
sub-control002	34_Trick38_combined_small.mp4	813	826
sub-control002	35_Trick32_long_combined_small.mp4	745	768
sub-control002	36_Trick7_short_combined_small.mp4	786	796
sub-control003	01_H35_combined_small.mp4	126	144
sub-control003	02_H10_combined_small.mp4	871	886
sub-control003	03_H16_combined_small.mp4	414	430
sub-control003	04_S9_combined_small.mp4	1083	1098
sub-control003	05_K4_combined_small.mp4	33	48
sub-control003	06_H7_combined_small.mp4	773	789
sub-control003	07_K2_combined_small.mp4	159	172
sub-control003	08_S12_combined_small.mp4	697	717
sub-control003	09_S11_combined_small.mp4	558	569
sub-control003	10_S27_combined_small.mp4	901	916
sub-control003	11_K21_long_combined_small.mp4	351	372
sub-control003	12_H37_combined_small.mp4	668	682
sub-control003	13_Trick6_short_combined_small.mp4	93	111
sub-control003	14_K19_long_combined_small.mp4	1114	1129
sub-control003	15_S18_combined_small.mp4	995	1010
sub-control003	16_H19_combined_small.mp4	387	398
sub-control003	17_Trick37_combined_small.mp4	732	754
sub-control003	18_Trick4_combined_small.mp4	187	210
sub-control003	19_H17_combined_small.mp4	628	651
sub-control003	20_Trick20_short_combined_small.mp4	1052	1064
sub-control003	21_S15_combined_small.mp4	282	297
sub-control003	22_K18_combined_small.mp4	256	266
sub-control003	23_K10_combined_small.mp4	967	978
sub-control003	24_Trick28_combined_small.mp4	932	952
sub-control003	25_S25_combined_small.mp4	587	613
sub-control003	26_S30_combined_small.mp4	501	513
sub-control003	27_S31_combined_small.mp4	476	486
sub-control003	28_K24_combined_small.mp4	1025	1036
sub-control003	29_H36_combined_small.mp4	315	332
sub-control003	30_H15_combined_small.mp4	225	240
sub-control003	31_K3_combined_small.mp4	844	856
sub-control003	32_K16_short_combined_small.mp4	528	543
sub-control003	33_S21_combined_small.mp4	65	75
sub-control003	34_Trick38_combined_small.mp4	445	458
sub-control003	35_Trick32_long_combined_small.mp4	806	829
sub-control003	36_Trick7_short_combined_small.mp4	8	18
sub-control007	01_H35_combined_small.mp4	746	764
sub-control007	02_H10_combined_small.mp4	387	402
sub-control007	03_H16_combined_small.mp4	327	343
sub-control007	04_S9_combined_small.mp4	211	226
sub-control007	05_K4_combined_small.mp4	657	672
sub-control007	06_H7_combined_small.mp4	129	145
sub-control007	07_K2_combined_small.mp4	358	371
sub-control007	08_S12_combined_small.mp4	915	935
sub-control007	09_S11_combined_small.mp4	849	860
sub-control007	10_S27_combined_small.mp4	70	85
sub-control007	11_K21_long_combined_small.mp4	581	602
sub-control007	12_H37_combined_small.mp4	417	431
sub-control007	13_Trick6_short_combined_small.mp4	35	53
sub-control007	14_K19_long_combined_small.mp4	950	965
sub-control007	15_S18_combined_small.mp4	982	997
sub-control007	16_H19_combined_small.mp4	160	171
sub-control007	17_Trick37_combined_small.mp4	811	833
sub-control007	18_Trick4_combined_small.mp4	617	640
sub-control007	19_H17_combined_small.mp4	511	534
sub-control007	20_Trick20_short_combined_small.mp4	269	281
sub-control007	21_S15_combined_small.mp4	687	702
sub-control007	22_K18_combined_small.mp4	103	113
sub-control007	23_K10_combined_small.mp4	243	254
sub-control007	24_Trick28_combined_small.mp4	449	469
sub-control007	25_S25_combined_small.mp4	1012	1038
sub-control007	26_S30_combined_small.mp4	1117	1129
sub-control007	27_S31_combined_small.mp4	299	309
sub-control007	28_K24_combined_small.mp4	8	19
sub-control007	29_H36_combined_small.mp4	1053	1070
sub-control007	30_H15_combined_small.mp4	781	796
sub-control007	31_K3_combined_small.mp4	484	496
sub-control007	32_K16_short_combined_small.mp4	549	564
sub-control007	33_S21_combined_small.mp4	186	196
sub-control007	34_Trick38_combined_small.mp4	1089	1102
sub-control007	35_Trick32_long_combined_small.mp4	876	899
sub-control007	36_Trick7_short_combined_small.mp4	718	728
sub-control009	01_H35_combined_small.mp4	509	527
sub-control009	02_H10_combined_small.mp4	8	23
sub-control009	03_H16_combined_small.mp4	891	907
sub-control009	04_S9_combined_small.mp4	824	839
sub-control009	05_K4_combined_small.mp4	139	154
sub-control009	06_H7_combined_small.mp4	1020	1036
sub-control009	07_K2_combined_small.mp4	542	555
sub-control009	08_S12_combined_small.mp4	631	651
sub-control009	09_S11_combined_small.mp4	199	210
sub-control009	10_S27_combined_small.mp4	479	494
sub-control009	11_K21_long_combined_small.mp4	855	876
sub-control009	12_H37_combined_small.mp4	961	975
sub-control009	13_Trick6_short_combined_small.mp4	693	711
sub-control009	14_K19_long_combined_small.mp4	169	184
sub-control009	15_S18_combined_small.mp4	794	809
sub-control009	16_H19_combined_small.mp4	371	382
sub-control009	17_Trick37_combined_small.mp4	726	748
sub-control009	18_Trick4_combined_small.mp4	101	124
sub-control009	19_H17_combined_small.mp4	298	321
sub-control009	20_Trick20_short_combined_small.mp4	992	1004
sub-control009	21_S15_combined_small.mp4	67	82
sub-control009	22_K18_combined_small.mp4	605	615
sub-control009	23_K10_combined_small.mp4	423	434
sub-control009	24_Trick28_combined_small.mp4	1051	1071
sub-control009	25_S25_combined_small.mp4	226	252
sub-control009	26_S30_combined_small.mp4	1117	1129
sub-control009	27_S31_combined_small.mp4	767	777
sub-control009	28_K24_combined_small.mp4	449	460
sub-control009	29_H36_combined_small.mp4	570	587
sub-control009	30_H15_combined_small.mp4	268	283
sub-control009	31_K3_combined_small.mp4	38	50
sub-control009	32_K16_short_combined_small.mp4	338	353
sub-control009	33_S21_combined_small.mp4	668	678
sub-control009	34_Trick38_combined_small.mp4	1089	1102
sub-control009	35_Trick32_long_combined_small.mp4	923	946
sub-control009	36_Trick7_short_combined_small.mp4	397	407
sub-control011	01_H35_combined_small.mp4	525	543
sub-control011	02_H10_combined_small.mp4	788	803
sub-control011	03_H16_combined_small.mp4	494	510
sub-control011	04_S9_combined_small.mp4	660	675
