BIDS	gcor
c01	 0.0751876
c02	 0.0609017
c03	 0.0386063
c07	 0.0331095
c09	 0.0880264
c11	 0.0676825
c13	 0.141601
c15	 0.121076
c17	 0.052119
c19	 0.0675805
c21	 0.0717341
c23	 0.0420281
c25	 0.100258
c27	 0.0762035
c29	 0.047161
c31	 0.0948744
c33	 0.151781
c35	 0.0260755
c37	 0.103545
c39	 0.0614718
c41	 0.0450899
c43	 0.0575968
c45	 0.108894
c47	 0.0337878
c49	 0.0705089
e04	 0.0429103
e05	 0.0670973
e06	 0.0452072
e08	 0.0817178
e10	 0.0383661
e12	 0.0692644
e14	 0.053432
e16	 0.112675
e18	 0.0854717
e20	 0.0678884
e22	 0.115532
e24	 0.0390891
e26	 0.0763392
e28	 0.0717617
e30	 0.081991
e32	 0.134144
e34	 0.0865335
e36	 0.0792798
e38	 0.0472708
e40	 0.051516
e42	 0.0450845
e44	 0.0398881
e46	 0.0773245
e48	 0.0555411
e50	 0.0756061
