BIDS	gcor
c01	 0.040333
c02	 0.041865
c03	 0.0297805
c07	 0.0266806
c09	 0.0543655
c11	 0.0515209
c13	 0.069921
c15	 0.0830508
c17	 0.0307304
c19	 0.0354978
c21	 0.0396695
c23	 0.0201064
c25	 0.0692507
c27	 0.0470388
c29	 0.0264469
c31	 0.0522967
c33	 0.119985
c35	 0.0196999
c37	 0.0585177
c39	 0.0474553
c41	 0.0224056
c43	 0.0405448
c45	 0.0650684
c47	 0.0277951
c49	 0.0336088
e04	 0.0256035
e05	 0.0521559
e06	 0.0314092
e08	 0.0496719
e10	 0.0314509
e12	 0.0406962
e14	 0.0515843
e16	 0.0483011
e18	 0.0450146
e20	 0.0665925
e22	 0.0787709
e24	 0.0279555
e26	 0.0468993
e28	 0.0424295
e30	 0.0693194
e32	 0.0740066
e34	 0.038427
e36	 0.0434406
e38	 0.0354609
e40	 0.0326566
e42	 0.0258753
e44	 0.0341985
e46	 0.0541916
e48	 0.0294691
e50	 0.0373875
