BIDS	gcor
c01	 0.0287881
c02	 0.021985
c03	 0.00930045
c07	 0.00682836
c09	 0.0294588
c11	 0.0122294
c13	 0.0186253
c15	 0.027181
c17	 0.00855388
c19	 0.0140574
c21	 0.0246816
c23	 0.00966905
c25	 0.028077
c27	 0.0156104
c29	 0.0178489
c31	 0.0381777
c33	 0.036083
c35	 0.013625
c37	 0.0272554
c39	 0.0172709
c41	 0.0130564
c43	 0.0186956
c45	 0.0329725
c47	 0.00824484
c49	 0.00830587
e04	 0.0127519
e05	 0.0130323
e06	 0.0211799
e08	 0.0151652
e10	 0.0167708
e12	 0.00952561
e14	 0.0192222
e16	 0.0151256
e18	 0.0193369
e20	 0.019698
e22	 0.0349896
e24	 0.0129734
e26	 0.00911466
e28	 0.020335
e30	 0.0378548
e32	 0.0404927
e34	 0.0133474
e36	 0.013366
e38	 0.0151094
e40	 0.0089809
e42	 0.0111348
e44	 0.013342
e46	 0.0257315
e48	 0.0125076
e50	 0.00974827
