BIDS	gcor
c01	 0.0344794
c02	 0.0417066
c03	 0.0310333
c07	 0.0606332
c09	 0.0825118
c11	 0.0345833
c13	 0.0374983
c15	 0.0520703
c17	 0.0198646
c19	 0.0230152
c21	 0.036688
c23	 0.0229408
c25	 0.0448683
c27	 0.0418532
c29	 0.0251004
c31	 0.047072
c33	 0.0540977
c35	 0.0191705
c37	 0.042999
c39	 0.0309162
c41	 0.0178296
c43	 0.0508212
c45	 0.0565067
c47	 0.035287
c49	 0.0287623
e04	 0.0492468
e05	 0.0471042
e06	 0.025017
e08	 0.0439207
e10	 0.0499175
e12	 0.0223376
e14	 0.0491797
e16	 0.034901
e18	 0.0685
e20	 0.044162
e22	 0.0767334
e24	 0.0262597
e26	 0.0167203
e28	 0.0547964
e30	 0.0690896
e32	 0.0975304
e34	 0.0345311
e36	 0.0336045
e38	 0.0495793
e40	 0.0396011
e42	 0.026722
e44	 0.0179523
e46	 0.0448685
e48	 0.0251348
e50	 0.0277862
