BIDS highConf_abs
VTASN_diff_c01_zcorr 14
VTASN_diff_c02_zcorr 18
VTASN_diff_c03_zcorr 20
VTASN_diff_c07_zcorr 12
VTASN_diff_c09_zcorr 19
VTASN_diff_c11_zcorr 13
VTASN_diff_c13_zcorr 15
VTASN_diff_c15_zcorr 12
VTASN_diff_c17_zcorr 19
VTASN_diff_c19_zcorr 25
VTASN_diff_c21_zcorr 24
VTASN_diff_c23_zcorr 14
VTASN_diff_c25_zcorr 18
VTASN_diff_c27_zcorr 16
VTASN_diff_c29_zcorr 13
VTASN_diff_c31_zcorr 12
VTASN_diff_c33_zcorr 13
VTASN_diff_c35_zcorr 3
VTASN_diff_c37_zcorr 9
VTASN_diff_c39_zcorr 18
VTASN_diff_c41_zcorr 14
VTASN_diff_c43_zcorr 16
VTASN_diff_c45_zcorr 15
VTASN_diff_c47_zcorr 15
VTASN_diff_c49_zcorr 21
VTASN_diff_e04_zcorr 7
VTASN_diff_e05_zcorr 17
VTASN_diff_e06_zcorr 16
VTASN_diff_e08_zcorr 7
VTASN_diff_e10_zcorr 4
VTASN_diff_e12_zcorr 27
VTASN_diff_e14_zcorr 20
VTASN_diff_e16_zcorr 11
VTASN_diff_e18_zcorr 6
VTASN_diff_e20_zcorr 20
VTASN_diff_e22_zcorr 17
VTASN_diff_e24_zcorr 14
VTASN_diff_e26_zcorr 13
VTASN_diff_e28_zcorr 14
VTASN_diff_e30_zcorr 7
VTASN_diff_e32_zcorr 14
VTASN_diff_e34_zcorr 8
VTASN_diff_e36_zcorr 13
VTASN_diff_e38_zcorr 16
VTASN_diff_e40_zcorr 16
VTASN_diff_e42_zcorr 22
VTASN_diff_e44_zcorr 26
VTASN_diff_e46_zcorr 20
VTASN_diff_e48_zcorr 17
VTASN_diff_e50_zcorr 17
