"ID","slice_perc_z_mean_subj","slice_perc_z_sd_subj","slice_perc_z_min_subj","slice_perc_z_max_subj","slice_diff_z_mean_subj","slice_diff_z_sd_subj","slice_diff_z_min_subj","slice_diff_z_max_subj","fd_mean_subj","fd_sd_subj","fd_min_subj","fd_max_subj","number_scans","tsnr_mean_subj","tsnr_sd_subj","tsnr_min_subj","tsnr_max_subj"
"sub-control001",1,0,1,1,0,0,0,0,0.0836588752490197,0.0180812130878801,0.0644927817256998,0.113230773541433,5,90.2345037197611,6.7735199975267,79.3121433237582,96.8484666458203
"sub-control002",0.955555555555556,0,0.955555555555556,0.955555555555556,2,0,2,2,0.0927042734864668,0.00517023821244846,0.0849120442746813,0.0989384758677399,5,79.833050530145,1.38687323123204,78.5346636659858,82.1799345520119
"sub-control003",0.978260869565217,0,0.978260869565217,0.978260869565217,1,0,1,1,0.0559310467265705,0.00513788551809759,0.0508023805317861,0.0635385070356033,5,111.587040776566,3.21072664935934,108.082684666113,115.424478088608
"sub-control007",0.970212765957447,0.0116536714362801,0.957446808510638,0.978723404255319,1.4,0.547722557505166,1,2,0.0970954717066744,0.0186325257305591,0.0774411518593428,0.121383471436553,5,94.8635742597014,5.21469736014272,89.1368105021385,101.523382213127
"sub-control009",1,0,1,1,0,0,0,0,0.13060460725119,0.0280950053501192,0.107487964992286,0.174493950869539,5,79.1326384774342,4.72179708963025,72.1520671898444,83.7405323610335
"sub-control011",0.976744186046512,0,0.976744186046512,0.976744186046512,1,0,1,1,0.0743210922318285,0.0075067305347412,0.0682193969768354,0.0836172466040689,5,82.6298870508273,3.96879420245246,78.5891902741213,86.908435346207
"sub-control013",1,0,1,1,0,0,0,0,0.0877217822040164,0.0232140284375959,0.0736078403914697,0.114514218678285,3,88.2280044464228,4.34649521260913,85.0340717863692,93.1777481707179
"sub-control015",0.971428571428571,0.026082026547865,0.928571428571429,1,1.2,1.09544511501033,0,3,0.1231990676275,0.0255174384900362,0.0961320730054831,0.158845763157821,5,74.7307097588229,5.78958769252246,68.9956975789474,83.5806843383099
"sub-control017",0.962790697674419,0.083202529395341,0.813953488372093,1,1.6,3.57770876399966,0,8,0.0855346664580801,0.0152733418393131,0.0705241097695262,0.109415997948514,5,95.825663126251,9.10827386640591,82.6394173236531,102.954494705449
"sub-control019",0.990909090909091,0.0124482399432992,0.977272727272727,1,0.4,0.547722557505166,0,1,0.0852869831572113,0.00772067705202581,0.0776757322338326,0.0939988078083571,5,97.9054981826368,1.90732220982244,95.8716638431801,100.852611667173
