"ID","BIDS","corsiSpan","nback_hits","nback_misses_inclTooSlow","nback_misses_exclTooSlow","nback_correctrejections","nback_falsealarms_inclTooSlow","nback_falsealarms_exclTooSlow","nback_hitrate","nback_falsealarmrate","nback_accurary","BISBAS_inhibition","BISBAS_rewardresponsiveness","BISBAS_drive","BISBAS_funseeking","NeedForCognition","FearOfFailure","ApproachTemperament","AvoidanceTemperament","TraitCuriosity","StateCuriosity","IMI_intrinsicMotivation","IMI_interest","IMI_taskEngagement","IMI_boredom","IMI_pressure","IMI_effort","cuedRecallStrict_abs","cuedRecallStrict_rel","cuedRecallLenient_abs","cuedRecallLenient_rel","allConf_abs","allConf_rel","highConf_abs","highConf_rel","rememberedStrictHigh_abs","rememberedStrictHigh_rel","rememberedLenientHigh_abs","rememberedLenientHigh_rel"
"01","sub-control001",5,10,1,0,61,8,4,0.909090909090909,0.0579710144927536,0.851119894598155,17,14,14,12,21,15,31,9,58,44,5.66666666666667,6,5.66666666666667,2.33333333333333,4.6,4,14,0.388888888888889,16,0.444444444444444,17,0.472222222222222,14,0.388888888888889,17,0.472222222222222,17,0.472222222222222
"02","sub-control002",5,15,1,1,57,7,5,0.9375,0.078125,0.859375,9,7,11,11,17,19,35,30,74,73,6,5,4.33333333333333,1,5,6.2,11,0.305555555555556,16,0.444444444444444,22,0.611111111111111,18,0.5,20,0.555555555555556,24,0.666666666666667
"03","sub-control003",8,19,1,1,55,5,2,0.95,0.0333333333333333,0.916666666666667,10,8,10,10,40,17,36,22,62,58,5.33333333333333,6,5.66666666666667,2.66666666666667,1.6,5.4,13,0.361111111111111,14,0.388888888888889,26,0.722222222222222,20,0.555555555555556,22,0.611111111111111,22,0.611111111111111
"07","sub-control007",6,17,0,0,61,2,0,1,0,1,11,6,7,5,41,15,34,23,78,77,6.33333333333333,7,6.66666666666667,3.33333333333333,1.4,6.2,4,0.111111111111111,8,0.222222222222222,27,0.75,12,0.333333333333333,14,0.388888888888889,14,0.388888888888889
"09","sub-control009",6,14,2,0,57,7,0,0.875,0,0.875,12,9,10,7,30,19,33,15,66,62,6,6.33333333333333,6,2.33333333333333,3,5.8,19,0.527777777777778,21,0.583333333333333,31,0.861111111111111,19,0.527777777777778,25,0.694444444444444,27,0.75
"11","sub-control011",4,9,4,3,60,7,5,0.692307692307692,0.0746268656716418,0.617680826636051,12,6,8,7,55,11,39,22,73,69,6,5.66666666666667,6.33333333333333,2,1.4,3,10,0.277777777777778,11,0.305555555555556,18,0.5,13,0.361111111111111,16,0.444444444444444,17,0.472222222222222
"13","sub-control013",7,9,2,2,69,0,0,0.818181818181818,0,0.818181818181818,15,7,10,8,39,17,35,21,72,74,6.66666666666667,7,6.33333333333333,2,1.2,4.4,12,0.333333333333333,12,0.333333333333333,25,0.694444444444444,15,0.416666666666667,19,0.527777777777778,19,0.527777777777778
"15","sub-control015",6,9,4,2,22,45,39,0.692307692307692,0.582089552238806,0.110218140068886,9,8,9,5,14,33,32,31,70,75,6,5.66666666666667,5.66666666666667,3.33333333333333,4.4,5.2,13,0.361111111111111,14,0.388888888888889,20,0.555555555555556,12,0.333333333333333,20,0.555555555555556,20,0.555555555555556
"17","sub-control017",5,10,5,4,57,8,2,0.666666666666667,0.0307692307692308,0.635897435897436,14,5,5,6,25,18,34,24,70,52,4.66666666666667,4.66666666666667,6.66666666666667,1.33333333333333,3.8,5.8,15,0.416666666666667,18,0.5,24,0.666666666666667,19,0.527777777777778,24,0.666666666666667,24,0.666666666666667
"19","sub-control019",7,15,0,0,63,2,1,1,0.0153846153846154,0.984615384615385,16,6,5,7,24,24,38,23,74,48,4.33333333333333,5.33333333333333,4.33333333333333,3.66666666666667,2.4,4.8,20,0.555555555555556,25,0.694444444444444,30,0.833333333333333,25,0.694444444444444,28,0.777777777777778,30,0.833333333333333
