BIDS	gcor
sub-control001	 0.0452523
sub-control002	 0.0397433
sub-control003	 0.0244452
sub-control007	 0.0209583
sub-control009	 0.0573163
sub-control011	 0.0422599
sub-control013	 0.092217
sub-control015	 0.0754808
sub-control017	 0.031754
sub-control019	 0.0412669
sub-control021	 0.0473006
sub-control023	 0.0241958
sub-control025	 0.0628826
sub-control027	 0.0497106
sub-control029	 0.0292602
sub-control031	 0.0599165
sub-control033	 0.101967
sub-control035	 0.0152794
sub-control037	 0.0667451
sub-control039	 0.0367823
sub-control041	 0.0260951
sub-control043	 0.0386192
sub-control045	 0.0712477
sub-control047	 0.0203917
sub-control049	 0.0413802
sub-experimental004	 0.026425
sub-experimental005	 0.0435347
sub-experimental006	 0.0274226
sub-experimental008	 0.047884
sub-experimental010	 0.024533
sub-experimental012	 0.0415395
sub-experimental014	 0.0364637
sub-experimental016	 0.070914
sub-experimental018	 0.0537437
sub-experimental020	 0.0426672
sub-experimental022	 0.0784378
sub-experimental024	 0.0229311
sub-experimental026	 0.0472537
sub-experimental028	 0.0442962
sub-experimental030	 0.0528106
sub-experimental032	 0.0888829
sub-experimental034	 0.0549164
sub-experimental036	 0.0512054
sub-experimental038	 0.0275866
sub-experimental040	 0.0323109
sub-experimental042	 0.0269882
sub-experimental044	 0.0238129
sub-experimental046	 0.0482498
sub-experimental048	 0.0344462
sub-experimental050	 0.0481448
