BIDS	gcor
sub-control001	 0.0153232
sub-control002	 0.0132629
sub-control003	 0.00840605
sub-control007	 0.00701787
sub-control009	 0.0195889
sub-control011	 0.0161582
sub-control013	 0.0253476
sub-control015	 0.0277811
sub-control017	 0.00955555
sub-control019	 0.0105584
sub-control021	 0.01108
sub-control023	 0.00706141
sub-control025	 0.0187828
sub-control027	 0.0143821
sub-control029	 0.00880386
sub-control031	 0.0143948
sub-control033	 0.040541
sub-control035	 0.0060583
sub-control037	 0.0181345
sub-control039	 0.0138178
sub-control041	 0.00737056
sub-control043	 0.0131323
sub-control045	 0.0201693
sub-control047	 0.0081842
sub-control049	 0.0107813
sub-experimental004	 0.00856952
sub-experimental005	 0.017373
sub-experimental006	 0.00979056
sub-experimental008	 0.0152312
sub-experimental010	 0.00933118
sub-experimental012	 0.0131866
sub-experimental014	 0.0136209
sub-experimental016	 0.0126953
sub-experimental018	 0.012637
sub-experimental020	 0.0194531
sub-experimental022	 0.024542
sub-experimental024	 0.0089827
sub-experimental026	 0.0150286
sub-experimental028	 0.014381
sub-experimental030	 0.0203734
sub-experimental032	 0.0201708
sub-experimental034	 0.0127804
sub-experimental036	 0.0155016
sub-experimental038	 0.0115594
sub-experimental040	 0.0109979
sub-experimental042	 0.00755731
sub-experimental044	 0.0105568
sub-experimental046	 0.0164692
sub-experimental048	 0.00868111
sub-experimental050	 0.0106024
