BIDS	gcor
sub-control001	 0.0737743
sub-control002	 0.0495926
sub-control003	 0.0225967
sub-control007	 0.017229
sub-control009	 0.0712217
sub-control011	 0.0326294
sub-control013	 0.0464948
sub-control015	 0.0746756
sub-control017	 0.0219866
sub-control019	 0.0393379
sub-control021	 0.05648
sub-control023	 0.0267206
sub-control025	 0.0723338
sub-control027	 0.0383228
sub-control029	 0.0456526
sub-control031	 0.0974085
sub-control033	 0.09191
sub-control035	 0.0386353
sub-control037	 0.0687219
sub-control039	 0.0497574
sub-control041	 0.0371201
sub-control043	 0.0426075
sub-control045	 0.0795952
sub-control047	 0.0229174
sub-control049	 0.0238869
sub-experimental004	 0.0330284
sub-experimental005	 0.0318452
sub-experimental006	 0.0555653
sub-experimental008	 0.0445962
sub-experimental010	 0.0416871
sub-experimental012	 0.0265625
sub-experimental014	 0.0420552
sub-experimental016	 0.0416983
sub-experimental018	 0.0468959
sub-experimental020	 0.051505
sub-experimental022	 0.0789368
sub-experimental024	 0.0363776
sub-experimental026	 0.0246054
sub-experimental028	 0.0533093
sub-experimental030	 0.0936543
sub-experimental032	 0.100905
sub-experimental034	 0.0346226
sub-experimental036	 0.0323318
sub-experimental038	 0.041249
sub-experimental040	 0.0238491
sub-experimental042	 0.0308474
sub-experimental044	 0.0349404
sub-experimental046	 0.0642021
sub-experimental048	 0.0335345
sub-experimental050	 0.0264186
