BIDS	gcor
sub-control001	 0.0134123
sub-control002	 0.0178558
sub-control003	 0.0122853
sub-control007	 0.0245042
sub-control009	 0.0338329
sub-control011	 0.01342
sub-control013	 0.0144701
sub-control015	 0.0182601
sub-control017	 0.0071829
sub-control019	 0.0078655
sub-control021	 0.0150843
sub-control023	 0.00789234
sub-control025	 0.0171029
sub-control027	 0.0162399
sub-control029	 0.00951258
sub-control031	 0.0173059
sub-control033	 0.0217076
sub-control035	 0.00696513
sub-control037	 0.0168455
sub-control039	 0.0101552
sub-control041	 0.00618253
sub-control043	 0.0223898
sub-control045	 0.0218793
sub-control047	 0.013067
sub-control049	 0.00985747
sub-experimental004	 0.0194625
sub-experimental005	 0.0196265
sub-experimental006	 0.00909209
sub-experimental008	 0.0147719
sub-experimental010	 0.0196149
sub-experimental012	 0.00810041
sub-experimental014	 0.0225763
sub-experimental016	 0.0120646
sub-experimental018	 0.0257857
sub-experimental020	 0.016645
sub-experimental022	 0.0340179
sub-experimental024	 0.00956174
sub-experimental026	 0.00618953
sub-experimental028	 0.0210173
sub-experimental030	 0.0267653
sub-experimental032	 0.038317
sub-experimental034	 0.0132613
sub-experimental036	 0.012862
sub-experimental038	 0.0178579
sub-experimental040	 0.0153673
sub-experimental042	 0.00936766
sub-experimental044	 0.00665775
sub-experimental046	 0.0173108
sub-experimental048	 0.00900715
sub-experimental050	 0.0101218
